# us/u_eta,time_estimate
5.000000000000000000e-01,8.860051100615818909e-01
1.000000000000000000e+00,8.361047542167064917e-01
1.500000000000000000e+00,7.702715450755170945e-01
2.000000000000000000e+00,7.173236259348583221e-01
2.500000000000000000e+00,6.490908038383250700e-01
3.000000000000000000e+00,6.129889478060919217e-01
3.500000000000000000e+00,5.467156420611785084e-01
4.000000000000000000e+00,5.117913213068471245e-01
4.500000000000000000e+00,4.840958002614507150e-01
5.000000000000000000e+00,4.491609420166061684e-01
6.000000000000000000e+00,3.904970934972437080e-01
7.000000000000000000e+00,3.362073133755369425e-01
8.000000000000000000e+00,3.113520564294168236e-01
9.000000000000000000e+00,2.760967161354364596e-01
1.000000000000000000e+01,2.560707263629120045e-01
1.500000000000000000e+01,1.768080404131860128e-01
2.000000000000000000e+01,1.518331880958990743e-01
